id|txt|cit|data|cit
onnabia|apenas um filme lésbico pode me alegrar neste momento|Rio de Janeiro, Brasil|27/10/2017 00:14|6
onnabia|fodase só queria alguém que me amasse e aceitasse meu corpo como ele está agora mas isso nunca vai acontecer|Rio de Janeiro, Brasil|27/10/2017 00:08|6
onnabia|já deu pra mim, já tentei de todas as maneiras mas não suporto viver presa dentro desse corpo e isso acaba com a minha vida todos os dias|Rio de Janeiro, Brasil|27/10/2017 00:01|6
onnabia|se liga vou fazer um drama|Rio de Janeiro, Brasil|27/10/2017 00:00|6
onnabia|me sentindo levemente suicida|Rio de Janeiro, Brasil|26/10/2017 23:57|5
onnabia|chapada de zolpidem graças a deus|Rio de Janeiro, Brasil|26/10/2017 23:29|5
onnabia|to lendo aqui freud a interpretação dos sonhos mas o cara era mais confuso que foucault|Rio de Janeiro, Brasil|26/10/2017 22:38|5
onnabia|“sonhar com borboletas: preste mais atenção no seu parceiro” pqp|Rio de Janeiro, Brasil|26/10/2017 22:33|5
onnabia|eu não entendo quem criou que eu sonhar com dente caindo significa GRAVIDEZ|Rio de Janeiro, Brasil|26/10/2017 22:32|5
onnabia|vcs acreditam que sonhos têm significados?|Rio de Janeiro, Brasil|26/10/2017 22:31|5
onnabia|o tempo todo eu sonho que to sendo atacada por borboletas o que será que significa|Rio de Janeiro, Brasil|26/10/2017 22:29|5
onnabia|pornô indie|Rio de Janeiro, Brasil|26/10/2017 22:14|5
onnabia|eu tava tão bem sem pensar em sexo pqp vtnc|Rio de Janeiro, Brasil|26/10/2017 22:12|5
onnabia|boa noite quer transar ?|Rio de Janeiro, Brasil|26/10/2017 22:08|5
onnabia|devolve minha libido não quero mais|Rio de Janeiro, Brasil|26/10/2017 21:48|5
onnabia|ah meu deus q tesao|Rio de Janeiro, Brasil|26/10/2017 21:48|5
onnabia|só quero tatuar o pescoço, perder 25kg e minhas musicas no spotify|Rio de Janeiro, Brasil|26/10/2017 21:42|5
onnabia|a vida é injusta né|Rio de Janeiro, Brasil|26/10/2017 21:35|5
onnabia|no momento apoiando a cena|Rio de Janeiro, Brasil|26/10/2017 21:08|5
onnabia|pc siqueira x mombaque|Rio de Janeiro, Brasil|26/10/2017 20:49|5
onnabia|que vontade horrível de chorar misericórdia|Rio de Janeiro, Brasil|26/10/2017 19:59|5
onnabia|caraca no momento sendo a mulher mais feia do rio de janeiro|Rio de Janeiro, Brasil|26/10/2017 19:12|5
onnabia|meu deus to há muito tempo lendo o perfil de um fudido que tem opinião pra tudo mas só opinião merda to mal aqui|Rio de Janeiro, Brasil|26/10/2017 17:49|5
onnabia|caraca deixa eu ver se eu entendi o cara tatuou “kpop é um lixo” e um pinto de asas???|Rio de Janeiro, Brasil|26/10/2017 14:32|5
onnabia|e agora, o que eu faço?|Rio de Janeiro, Brasil|26/10/2017 14:27|5
onnabia|estamos namorando a partir deste tweet|Rio de Janeiro, Brasil|26/10/2017 14:25|5
onnabia|vamos namorar|Rio de Janeiro, Brasil|26/10/2017 14:25|5
onnabia|fala seguidores|Rio de Janeiro, Brasil|26/10/2017 12:05|5
onnabia|quero casar com o @temerpoeta|Rio de Janeiro, Brasil|26/10/2017 00:21|5
onnabia|eu não entendo muito bem o conceito de precisar de uma votação pra investigar|Rio de Janeiro, Brasil|25/10/2017 22:51|4
onnabia|eu deveria ter saído com você quando tava 30kg mais magra|Rio de Janeiro, Brasil|25/10/2017 22:46|4
onnabia|não sei o que é pior, não ter libido ou de repente vir um jato hormonal e a libido voltar com tudo|Rio de Janeiro, Brasil|25/10/2017 22:28|4
onnabia|to boba hoje to rindo de tudo|Rio de Janeiro, Brasil|25/10/2017 22:24|4
onnabia|A Bm E7|Rio de Janeiro, Brasil|25/10/2017 21:36|4
onnabia|oi @realanamuller sou sua fã|Rio de Janeiro, Brasil|25/10/2017 21:27|4
onnabia|te faço um café.. e até um cafuné|Rio de Janeiro, Brasil|25/10/2017 20:50|4
onnabia|blz que entre bolsonaro e lula eu voto no lula mas vcs fica endeusando o cara eu não entendo|Rio de Janeiro, Brasil|25/10/2017 20:11|4
